,Id,Price,RoomNr,Surface,ZIP,Latitude,Longitude
268,5920870,1600.0,3.0,67.0,6005,47.03951,8.30072
269,5960566,1600.0,2.5,60.0,6005,47.04421,8.31333
270,5966823,1600.0,2.5,67.0,6020,47.07565,8.27492
271,5969824,1600.0,3.5,94.0,6020,47.09066,8.28038
273,5746695,1610.0,3.5,80.0,6010,47.03577,8.28045
274,5952258,1610.0,4.0,78.0,6006,47.06105,8.31853
276,5700142,1620.0,2.5,64.0,6048,47.01855,8.30846
277,5954750,1620.0,3.5,71.0,6003,47.04437,8.30789
281,5245080,1630.0,4.5,96.0,6020,47.09267,8.27848
282,5504221,1630.0,3.5,82.0,6015,47.06027,8.27996
283,5923830,1630.0,4.0,84.0,6010,47.03382,8.27455
284,5966979,1630.0,3.0,83.0,6020,47.08791,8.27796
285,5776990,1635.0,3.5,83.0,6032,47.07668,8.29021
286,5565326,1640.0,3.0,76.0,6005,47.03345,8.30997
287,5902991,1640.0,2.5,67.0,6005,47.03698,8.30221
289,5952259,1640.0,2.5,50.0,6030,47.08315,8.34087
290,5364585,1650.0,3.5,71.0,6005,47.03533,8.33212
291,5913456,1650.0,2.0,59.0,6003,47.05044,8.29899
292,5935664,1650.0,4.5,70.0,6020,47.09164,8.27578
293,5622666,1655.0,3.5,84.0,6032,47.07668,8.29021
294,5358165,1660.0,3.5,79.0,6005,47.03739,8.32314
295,5809702,1665.0,3.5,83.0,6032,47.07668,8.29021
296,602096,1670.0,4.5,85.0,6003,47.04672,8.28971
297,4047813,1670.0,4.5,93.0,6003,47.04626,8.2898
298,5201690,1670.0,3.5,81.0,6006,47.06483,8.31213
299,5894547,1670.0,3.5,60.0,6006,47.062,8.31096
300,5963173,1675.0,2.5,48.0,6014,47.06496,8.28089
301,5968167,1675.0,3.0,65.0,6003,47.04639,8.30861
302,4202437,1680.0,4.0,88.0,6020,47.069,8.28904
303,5773830,1680.0,3.5,97.0,6010,47.03128,8.27398
304,5856588,1680.0,3.5,93.0,6006,47.05569,8.35578
305,5925386,1680.0,4.5,102.0,6043,47.07436,8.36217
306,5953070,1680.0,3.0,77.0,6003,47.05248,8.29721
307,5973713,1680.0,2.5,65.0,6003,47.0421,8.30548
308,5976699,1680.0,3.5,70.0,6045,47.05072,8.35451
310,5345355,1690.0,2.0,56.0,6004,47.05453,8.30866
311,5615659,1690.0,4.5,98.0,6020,47.08949,8.26962
312,5679332,1690.0,4.5,100.0,6020,47.07613,8.27894
313,5825783,1690.0,4.5,80.0,6003,47.05311,8.28654
314,5834079,1690.0,3.5,63.0,6005,47.03868,8.31865
315,5839992,1690.0,4.0,76.0,6023,47.09472,8.26978
317,5965767,1690.0,4.0,86.0,6014,47.05311,8.25158
318,5973575,1690.0,5.0,105.0,6020,47.0719,8.28796
319,5973576,1690.0,3.0,72.0,6052,46.99475,8.31215
320,5822337,1692.0,4.5,116.0,6020,47.09056,8.27326
321,5921174,1695.0,2.5,71.0,6006,47.06009,8.30944
322,5977728,1695.0,3.5,97.0,6006,47.0555,8.34325
323,5861219,1700.0,3.5,78.0,6023,47.09355,8.27181
324,5935075,1700.0,3.5,106.0,6010,47.02825,8.29094
325,5946026,1700.0,3.5,42.0,6004,47.05908,8.30895
326,5954324,1700.0,3.5,100.0,6030,47.08026,8.34205
327,5965762,1700.0,4.5,92.0,6020,47.07569,8.27158
328,5973348,1700.0,3.0,80.0,6005,47.03989,8.32193
329,5927569,1705.0,2.5,74.0,6006,47.06009,8.30944
330,5972751,1705.0,4.5,95.0,6010,47.03325,8.28078
331,5711529,1710.0,3.5,71.0,6003,47.04436,8.30768
332,5909127,1710.0,3.5,93.0,6006,47.05612,8.3563
333,5943791,1710.0,3.5,84.0,6032,47.08959,8.29429
334,5973604,1710.0,3.5,73.0,6003,47.04219,8.30602
335,5288420,1720.0,4.5,89.0,6014,47.05411,8.27913
336,5753372,1720.0,3.5,95.0,6023,47.09439,8.27176
337,5914918,1720.0,3.5,85.0,6032,47.07468,8.29126
338,5950516,1720.0,2.5,71.0,6006,47.06009,8.30944
339,5961032,1720.0,4.5,98.0,6032,47.07957,8.30598
340,5975421,1720.0,4.5,90.0,6014,47.04785,8.25674
341,5977542,1725.0,3.5,90.0,6030,47.08026,8.34205
342,5240135,1730.0,4.5,83.0,6032,47.09067,8.29323
343,5620129,1730.0,4.0,78.0,6003,47.05474,8.28892
344,5787920,1730.0,4.5,92.0,6005,47.03739,8.32314
345,5856587,1730.0,3.5,94.0,6012,47.03001,8.25186
346,5868205,1740.0,4.5,79.0,6005,47.03471,8.3292
347,5924432,1740.0,3.5,83.0,6032,47.07531,8.29214
348,5928684,1740.0,3.0,65.0,6005,47.03444,8.33245
349,5940683,1740.0,3.5,78.0,6010,47.03471,8.27886
350,5974215,1745.0,3.5,83.0,6020,47.08263,8.27525
351,5462845,1750.0,2.0,40.0,6006,47.03966,8.30837
352,5867902,1750.0,3.5,83.0,6020,47.08288,8.2758
353,5928568,1750.0,3.5,83.0,6032,47.07587,8.29397
354,5946799,1750.0,3.5,80.0,6003,47.05545,8.28445
355,5949768,1750.0,3.0,68.0,6003,47.04636,8.30067
356,5970344,1750.0,2.0,40.0,6005,47.03964,8.30826
357,5974552,1750.0,2.5,76.0,6005,47.04335,8.31742
358,5975465,1750.0,2.5,76.0,6010,47.02367,8.2915
359,5799199,1760.0,3.5,94.0,6006,47.05579,8.35573
360,5974076,1765.0,3.5,93.0,6005,47.04307,8.31105
361,5307802,1770.0,4.5,128.0,6032,47.0874,8.2918
362,5851776,1770.0,3.5,91.0,6000,47.04643,8.30382
363,5861734,1770.0,3.5,83.0,6030,47.07831,8.34102
365,4384321,1780.0,4.0,100.0,6020,47.08206,8.27714
366,5699606,1780.0,2.5,60.0,6003,47.04994,8.30288
368,5880199,1780.0,2.5,65.0,6032,47.07931,8.29842
